id,text,breaking_zero,breaking_instruct,breaking_fewshot,funny_zero,funny_instruct,breaking_zero_style,breaking_instruct_style,breaking_fewshot_style,funny_zero_style,funny_instruct_style,funny_fewshot,policy_zero,policy_instruct,policy_fewshot,funny_fewshot_style,policy_zero_style,policy_instruct_style,policy_fewshot_style,breaking_zero_entity,breaking_instruct_entity,breaking_fewshot_entity,funny_zero_entity,funny_instruct_entity,funny_fewshot_entity,policy_zero_entity,policy_instruct_entity,policy_fewshot_entity
11,"A record-breaking heatwave hit southern Europe, sparking wildfires.","A record-breaking heatwave hits southern Europe, sparking wildfires.","A record-breaking heatwave hit southern Europe, sparking wildfires.","BREAKING: A record-breaking heatwave hit southern Europe, sparking wildfires.","A record-breaking heatwave hits southern Europe, sparking wildfires.","A record-breaking heatwave hit southern Europe, sparking wildfires.",0.24,0.24,1.27,0.24,0.24,"BREAKING: A record-breaking heatwave hit southern Europe, sparking wildfires.","A record-breaking heatwave hits southern Europe, sparking wildfires.","A record-breaking heatwave hit southern Europe, sparking wildfires.","BREAKING: A record-breaking heatwave hit southern Europe, sparking wildfires.",1.27,0.24,0.24,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,The FDA approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,BREAKING: The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,0.26,0.26,1.3,0.26,0.26,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,The FDA has approved a new Alzheimer's drug that slows cognitive decline.,0.26,0.26,0.26,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,0.22,0.22,0.22,0.22,0.22,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,Google unveiled a new AI model that summarizes legal documents.,0.22,0.22,0.22,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Protests erupted after government proposed stricter internet laws.,Protests erupted after government proposed stricter internet laws.,Protests erupted after the government proposed stricter internet laws.,BREAKING: Protests erupted after government proposed stricter internet laws.,Protests erupted after government proposed stricter internet laws.,Protests erupted after the government proposed stricter internet laws.,0.24,0.25,1.27,0.24,0.25,Protests erupted after government proposed stricter internet laws.,Protests erupted after government proposed stricter internet laws.,Protests erupted after the government proposed stricter internet laws.,Protests erupted after government proposed stricter internet laws.,0.24,0.24,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Apple announced it will shift more production to India.,Apple announces it will shift more production to India.,Apple has announced it will shift more production to India.,BREAKING: Apple announced it will shift more production to India.,Apple announced it will shift more production to India.,Apple has announced it will shift more production to India.,0.2,0.21,1.23,0.2,0.21,Apple has announced it will shift more production to India.,Apple announced it will shift more production to India.,Apple announced that it will shift more production to India.,Apple announced it will shift more production to India.,0.21,0.2,0.21,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,SpaceX completed a successful test of its next-generation rocket booster.,SpaceX completed a successful test of its next-generation rocket booster.,SpaceX has completed a successful test of its next-generation rocket booster.,BREAKING: SpaceX completed a successful test of its next-generation rocket booster.,SpaceX completed a successful test of its next-generation rocket booster.,SpaceX has completed a successful test of its next-generation rocket booster.,0.26,0.28,1.3,0.26,0.28,SpaceX completed a successful test of its next-generation rocket booster.,SpaceX completed a successful test of its next-generation rocket booster.,SpaceX has completed a successful test of its next-generation rocket booster.,SpaceX has completed its first test of its new rocket booster.,0.26,0.26,0.28,0.22,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Scientists developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,BREAKING: Scientists have developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,0.24,0.24,1.27,0.24,0.24,(tone,Scientists have developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,Scientists have developed a vaccine for a new strain of avian flu.,0.02,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,BREAKING: Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,0.26,0.26,1.29,0.26,0.26,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,Germany passed a law mandating solar panels on new commercial buildings.,0.26,0.26,0.26,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,A hacker group claimed responsibility for a major citywide power outage.,A hacker group claims responsibility for a major citywide power outage.,A hacker group claimed responsibility for a major citywide power outage.,BREAKING: A hacker group claims responsibility for a major power outage in San Francisco.,A hacker group claims responsibility for a major citywide power outage.,A hacker group claimed responsibility for a major citywide power outage.,0.25,0.26,1.32,0.25,0.26,A hacker group claims responsibility for a major power outage in New York City.,A hacker group claims responsibility for a major citywide power outage.,A hacker group claimed responsibility for a major citywide power outage.,A hacker group claims responsibility for a major power outage in New York City.,0.28,0.25,0.26,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,New York City launched a pilot program for free public Wi-Fi on buses.,New York City launches a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,BREAKING: New York City launched a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,0.25,0.25,1.29,0.25,0.25,New York City launched a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,New York City launched a pilot program for free public Wi-Fi on buses.,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,A global shortage of semiconductor chips is impacting car production.,a global shortage of semiconductor chips is impacting car production,A global shortage of semiconductor chips is impacting car production.,BREAKING: A global shortage of semiconductor chips is impacting car production.,a global shortage of semiconductor chips is impacting car production,A global shortage of semiconductor chips is impacting car production.,0.24,0.25,1.28,0.24,0.25,A global shortage of semiconductor chips is impacting car production.,a global shortage of semiconductor chips is impacting car production.,A global shortage of semiconductor chips is impacting car production.,A global shortage of semiconductor chips is impacting car production.,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Researchers found microplastics in rainwater samples across multiple continents.,Researchers found microplastics in rainwater samples across multiple continents.,Researchers have found microplastics in rainwater samples across multiple continents.,BREAKING: Researchers found microplastics in rainwater samples across multiple continents.,Microplastics found in rainwater samples across multiple continents.,Researchers found microplastics in rainwater samples across multiple continents.,0.29,0.3,1.32,0.24,0.29,Researchers found microplastics in rainwater samples across multiple continents.,Researchers found microplastics in rainwater samples across multiple continents.,Researchers found microplastics in rainwater samples across multiple continents.,Researchers found microplastics in rainwater samples across multiple continents.,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,BREAKING: The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,0.26,0.26,1.3,0.26,0.26,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,The Supreme Court is reviewing a case on social media content moderation.,0.26,0.26,0.26,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Twitter rolled out new tools to combat misinformation on its platform.,Twitter rolled out new tools to combat misinformation on its platform.,Twitter has rolled out new tools to combat misinformation on its platform.,BREAKING: Twitter rolled out new tools to combat misinformation on its platform.,Twitter rolled out new tools to combat misinformation on its platform.,Twitter rolled out new tools to combat misinformation on its platform.,0.25,0.26,1.29,0.25,0.25,Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform. Twitter is rolling out new tools to combat misinformation on its platform.,Twitter rolled out new tools to combat misinformation on its platform.,Twitter has rolled out new tools to combat misinformation on its platform.,Twitter rolled out new tools to combat misinformation on its platform.,1.0,0.25,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,BREAKING: Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,0.29,0.29,1.33,0.29,0.29,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,Wildlife conservationists have released 50 captive-bred pandas into protected reserves in Kenya.,Wildlife conservationists released 50 captive-bred pandas into protected reserves.,0.29,0.29,0.34,0.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,An Antarctic ice shelf is melting faster than climate models predicted.,An Antarctic ice shelf is melting faster than climate models predicted.,An Antarctic ice shelf is melting faster than climate models predicted.,Antarctic ice is melting faster than climate models predicted.,ice shelf is melting faster than climate models predicted,An Antarctic ice shelf is melting faster than climate models predicted.,0.25,0.25,0.22,0.2,0.25,Antarctic ice is melting faster than climate models predicted.,melting ice shelf faster than climate models predicted.,An Antarctic ice shelf is melting faster than climate models predicted.,Antarctic ice is melting faster than climate models predicted.,0.22,0.2,0.25,0.22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announces a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,BREAKING: Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,0.24,0.24,1.27,0.24,0.24,Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,Amazon announced a carbon-neutral goal for all deliveries by 2035.,0.24,0.24,0.24,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,Meta introduced a new VR headset focused on education and remote work.,Meta has introduced a new VR headset focused on education and remote work.,Meta has introduced a new VR headset focused on education and remote work.,BREAKING: Meta introduced a new VR headset focused on education and remote work.,i'm so excited about the new Meta VR headset. it's a great way to learn and work remotely.,Meta has introduced a new VR headset focused on education and remote work.,0.26,0.26,1.29,0.32,0.26,Meta introduced a new VR headset focused on education and remote work.,Meta introduced a new VR headset focused on education and remote work.,Meta has introduced a new VR headset focused on education and remote work.,Meta has introduced a new VR headset focused on education and remote work.,0.25,0.25,0.26,0.26,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
29,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times. BREAKING: A breakthrough battery technology promises faster EV charging times,"@michael_mcdonald I'm a big fan of EV charging, but I'm not sure if it's worth the money or not. I'm not sure if it's worth the money, but I'm not sure if it's worth the money or not. I'm not sure if it's worth the money, but I'm not sure if it's worth the money",A breakthrough battery technology promises faster EV charging times.,0.24,0.24,2.0,0.94,0.24,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times.,A breakthrough battery technology promises faster EV charging times.,0.24,0.24,0.24,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,The EU proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,BREAKING: The EU has proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,0.29,0.29,1.32,0.29,0.29,The EU has proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,The EU has proposed digital ID legislation for secure online access to services.,EU proposes digital ID legislation for secure online access to services.,0.29,0.29,0.29,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
